,Cities,Latitude,Longtitude,Max_Temp,Humidity,Cloudiness,WindSpeed,Country,Date
0,ancud,-41.76581708928762,-77.00058705874886,54.0,76.0,81.0,6.93,CL,1595277343.0
1,port macquarie,-33.4351783801366,155.1058515853291,39.0,87.0,14.0,11.3,AU,1595277479.0
2,vaini,-73.0484449398931,-179.9566150617423,71.6,78.0,20.0,6.93,TO,1595277350.0
3,lebu,-34.96866476409074,-97.05882129474377,52.84,84.0,92.0,9.89,CL,1595277380.0
5,provideniya,51.49469463482458,-176.25497567194947,48.2,81.0,90.0,6.71,RU,1595277479.0
6,bredasdorp,-36.9854246512231,19.626209846556776,60.8,87.0,1.0,10.29,ZA,1595277480.0
7,yumen,40.620691337582855,96.4847992785464,75.31,30.0,100.0,18.03,CN,1595277480.0
8,saint anthony,54.795253148672316,-55.9738254359863,82.0,44.0,40.0,4.7,US,1595277480.0
10,vila,-18.95212185270455,167.8589108229471,77.0,64.0,21.0,9.17,PT,1595277480.0
11,mataura,-70.27935626552394,-151.5378377665482,39.0,83.0,60.0,3.0,NZ,1595277480.0
12,cidreira,-45.92120950112105,-35.71777744986284,68.61,76.0,62.0,5.73,BR,1595277345.0
13,ayagoz,47.52559143176501,78.66668322081603,69.33,55.0,97.0,7.52,KZ,1595277480.0
14,veraval,17.19225330929696,68.88325369750115,83.46,79.0,72.0,14.85,IN,1595277480.0
15,bhakkar,31.408499884170865,70.97165272590459,83.55,59.0,53.0,10.38,PK,1595277480.0
16,victoria,-3.1681360643570855,50.13629647430909,84.0,83.0,100.0,4.52,HK,1595277068.0
17,saldanha,-32.693283373289304,17.72775589263071,55.4,71.0,0.0,1.12,ZA,1595277481.0
18,atuona,-5.958581027012883,-143.76287607910407,80.08,77.0,43.0,16.44,PF,1595277481.0
19,lata,-7.259696740541756,166.74200858881034,79.0,57.0,0.0,5.99,PT,1595277481.0
20,carnarvon,-25.527823281137444,96.1738329749727,53.6,76.0,0.0,9.17,AU,1595277481.0
21,richards bay,-31.67813377871368,39.433852140757296,61.27,78.0,0.0,9.84,ZA,1595277481.0
22,west bay,20.16965502280118,-80.9960029908096,86.0,74.0,75.0,8.05,KY,1595277481.0
